PHOTOID, LATITUDE, LONGITUDE, DATETIME
31246013823, 61.500531, 23.770862, 2016:01:01 00:00:00
31214933324, 61.500689, 23.771538, 2016:01:01 00:00:00
31246003543, 61.500521, 23.771522, 2016:01:01 00:00:00
32055788405, 61.500521, 23.771522, 2016:01:01 00:00:00
31938085081, 61.500500, 23.771828, 2016:01:01 00:00:00
31214917454, 61.500807, 23.772439, 2016:01:01 00:00:00
31245978403, 61.500618, 23.772064, 2016:01:01 00:00:00
31938077171, 61.500777, 23.774617, 2016:01:01 00:00:00
31214915144, 61.499696, 23.775615, 2016:01:01 00:00:00
31214913974, 61.500249, 23.775411, 2016:01:01 00:00:00
31214912704, 61.500423, 23.776849, 2016:01:01 00:00:00
31214911394, 61.499681, 23.776720, 2016:01:01 00:00:00
31214907364, 61.499543, 23.776849, 2016:01:01 00:00:00
32016810576, 61.499543, 23.776849, 2016:01:01 00:00:00
32016806696, 61.499277, 23.777160, 2016:01:01 00:00:00
31214894424, 61.499277, 23.777160, 2016:01:01 00:00:00
31214890884, 61.499338, 23.777471, 2016:01:01 00:00:00
32055733625, 61.499338, 23.777471, 2016:01:01 00:00:00
31214887884, 61.499082, 23.777514, 2016:01:01 00:00:00
32055727265, 61.499082, 23.777514, 2016:01:01 00:00:00
35302887395, 61.501388, 23.763055, 2016:01:01 00:00:00
33994353973, 61.541801, 23.617869, 2016:01:01 00:00:00
34803922185, 61.501396, 23.723430, 2016:01:01 00:00:00
34763839536, 61.501396, 23.723430, 2016:01:01 00:00:00
34641426282, 61.532658, 23.635625, 2016:01:01 00:00:00
34671418731, 61.738308, 23.406307, 2016:01:01 00:00:00
34763837076, 61.741965, 23.401490, 2016:01:01 00:00:00
34641423872, 61.745043, 23.396683, 2016:01:01 00:00:00
34763835856, 61.738308, 23.406307, 2016:01:01 00:00:00
34671415731, 61.532658, 23.635625, 2016:01:01 00:00:00
34763834496, 61.554804, 23.590521, 2016:01:01 00:00:00
34641421692, 61.554537, 23.590897, 2016:01:01 00:00:00
34671413781, 61.551595, 23.596680, 2016:01:01 00:00:00
34763832376, 61.554537, 23.590897, 2016:01:01 00:00:00
33116569323, 61.492242, 23.770809, 2016:01:01 00:00:00
33799527461, 61.492134, 23.768277, 2016:01:01 00:00:00
33544385100, 61.493250, 23.765938, 2016:01:01 00:00:00
33086045664, 61.493506, 23.765294, 2016:01:01 00:00:00
33116539953, 61.493506, 23.765294, 2016:01:01 00:00:00
33929589725, 61.498811, 23.776538, 2016:01:01 00:00:00
33116516813, 61.498826, 23.776066, 2016:01:01 00:00:00
33929575535, 61.499082, 23.777514, 2016:01:01 00:00:00
33929571055, 61.499338, 23.777471, 2016:01:01 00:00:00
33085938524, 61.499696, 23.775615, 2016:01:01 00:00:00
33085931534, 61.500500, 23.771828, 2016:01:01 00:00:00
33085926594, 61.500521, 23.771522, 2016:01:01 00:00:00
33544281730, 61.500521, 23.771522, 2016:01:01 00:00:00
33085917164, 61.499952, 23.771120, 2016:01:01 00:00:00
33085914204, 61.500531, 23.770862, 2016:01:01 00:00:00
33771974522, 61.500659, 23.770744, 2016:01:01 00:00:00
33116448853, 61.507410, 23.761121, 2016:01:01 00:00:00
33085892754, 61.506469, 23.755896, 2016:01:01 00:00:00
33085884944, 61.507554, 23.765777, 2016:01:01 00:00:00
32919341714, 61.468219, 24.084461, 2016:01:01 00:00:00
33633416641, 61.468219, 24.084461, 2016:01:01 00:00:00
33633304781, 61.572838, 24.453655, 2016:01:01 00:00:00
33377761560, 61.572838, 24.453655, 2016:01:01 00:00:00
33762485845, 61.572838, 24.453655, 2016:01:01 00:00:00
33633278291, 61.981263, 23.726755, 2016:01:01 00:00:00
33624769871, 62.271067, 25.877169, 2016:01:01 00:00:00
33578335812, 62.245307, 25.936167, 2016:01:01 00:00:00
33677865816, 62.245337, 25.935995, 2016:01:01 00:00:00
33524270122, 62.245617, 25.955511, 2016:01:01 00:00:00
33523180242, 61.466008, 23.775014, 2016:01:01 00:00:00
33273791360, 62.245617, 25.955511, 2016:01:01 00:00:00
33616887466, 61.486552, 23.757655, 2016:01:01 00:00:00
33263832320, 61.517205, 23.811621, 2016:01:01 00:00:00
33436057022, 61.501988, 23.728541, 2016:01:01 00:00:00
33461985921, 61.477375, 24.506236, 2016:01:01 00:00:00
33516963156, 61.505277, 23.713055, 2016:01:01 00:00:00
33513129326, 62.129414, 23.920012, 2016:01:01 00:00:00
33513116716, 62.197597, 23.832541, 2016:01:01 00:00:00
33553874975, 62.210002, 23.812688, 2016:01:01 00:00:00
33553872165, 62.209603, 23.812780, 2016:01:01 00:00:00
32739393083, 62.209458, 23.812823, 2016:01:01 00:00:00
33397136462, 62.209068, 23.813681, 2016:01:01 00:00:00
33397119482, 62.208813, 23.813982, 2016:01:01 00:00:00
32739344763, 62.209113, 23.813377, 2016:01:01 00:00:00
33170354760, 62.209603, 23.812780, 2016:01:01 00:00:00
33553750035, 62.209558, 23.812834, 2016:01:01 00:00:00
32709132314, 62.257638, 23.744679, 2016:01:01 00:00:00
33423754071, 62.259408, 23.696870, 2016:01:01 00:00:00
32709095394, 62.259406, 23.695905, 2016:01:01 00:00:00
32709078714, 62.259558, 23.698786, 2016:01:01 00:00:00
32709076754, 62.259558, 23.698786, 2016:01:01 00:00:00
33168966600, 62.259194, 23.699923, 2016:01:01 00:00:00
33552337515, 62.259274, 23.699029, 2016:01:01 00:00:00
32735673043, 62.251083, 23.778855, 2016:01:01 00:00:00
33513330685, 62.249427, 25.753733, 2016:01:01 00:00:00
33094331530, 61.515143, 23.800324, 2016:01:01 00:00:00
36073580822, 61.505839, 23.751540, 2016:01:01 00:00:00
36073576162, 61.506730, 23.749780, 2016:01:01 00:00:00
35545663081, 61.521288, 23.700080, 2016:01:01 00:00:00
34803948885, 61.827340, 23.321667, 2016:01:01 00:00:00
34763863906, 61.829847, 23.319232, 2016:01:01 00:00:00
34803948055, 61.540666, 24.047237, 2016:01:01 00:00:00
34417933490, 61.461482, 23.132572, 2016:01:01 00:00:00
34763842436, 61.550526, 23.600907, 2016:01:01 00:00:00
33544404390, 61.498698, 23.756808, 2016:01:01 00:00:00
33116574493, 61.492861, 23.769768, 2016:01:01 00:00:00
33772076112, 61.492861, 23.769768, 2016:01:01 00:00:00
33544400480, 61.492805, 23.770476, 2016:01:01 00:00:00
33772072552, 61.492027, 23.769478, 2016:01:01 00:00:00
33888148786, 61.492027, 23.769478, 2016:01:01 00:00:00
33888145586, 61.492134, 23.768277, 2016:01:01 00:00:00
33799525151, 61.492037, 23.766560, 2016:01:01 00:00:00
33888142016, 61.492037, 23.766560, 2016:01:01 00:00:00
33544388320, 61.491970, 23.766185, 2016:01:01 00:00:00
33888138556, 61.492411, 23.766249, 2016:01:01 00:00:00
33888134246, 61.492851, 23.766388, 2016:01:01 00:00:00
33544381300, 61.492851, 23.766388, 2016:01:01 00:00:00
33888106436, 61.493250, 23.765938, 2016:01:01 00:00:00
33544364850, 61.493614, 23.765444, 2016:01:01 00:00:00
33116536423, 61.493614, 23.765444, 2016:01:01 00:00:00
33086038924, 61.493711, 23.765949, 2016:01:01 00:00:00
33116532693, 61.494116, 23.766324, 2016:01:01 00:00:00
33799496281, 61.494582, 23.767375, 2016:01:01 00:00:00
33116529333, 61.494428, 23.767440, 2016:01:01 00:00:00
33772036152, 61.494510, 23.767719, 2016:01:01 00:00:00
33116525433, 61.494638, 23.767837, 2016:01:01 00:00:00
33799490391, 61.494638, 23.767837, 2016:01:01 00:00:00
33799487741, 61.495119, 23.768867, 2016:01:01 00:00:00
33929595585, 61.495119, 23.768867, 2016:01:01 00:00:00
33772030862, 61.494448, 23.769500, 2016:01:01 00:00:00
33544357170, 61.494448, 23.769500, 2016:01:01 00:00:00
33929585595, 61.498811, 23.776538, 2016:01:01 00:00:00
33116515103, 61.498811, 23.776538, 2016:01:01 00:00:00
33929581265, 61.498872, 23.778083, 2016:01:01 00:00:00
33116513223, 61.499082, 23.777514, 2016:01:01 00:00:00
33086006224, 61.499082, 23.777514, 2016:01:01 00:00:00
33086002534, 61.499338, 23.777471, 2016:01:01 00:00:00
33085968754, 61.499338, 23.777471, 2016:01:01 00:00:00
33772007332, 61.499338, 23.777471, 2016:01:01 00:00:00
33799440201, 61.499338, 23.777471, 2016:01:01 00:00:00
33799439091, 61.498785, 23.774693, 2016:01:01 00:00:00
33085936334, 61.499696, 23.775615, 2016:01:01 00:00:00
33799437971, 61.500428, 23.776034, 2016:01:01 00:00:00
33085928904, 61.500500, 23.771828, 2016:01:01 00:00:00
33085921254, 61.499149, 23.771367, 2016:01:01 00:00:00
33544276300, 61.499684, 23.771823, 2016:01:01 00:00:00
33771979322, 61.500162, 23.771023, 2016:01:01 00:00:00
33085911634, 61.501217, 23.770626, 2016:01:01 00:00:00
33771969452, 61.502763, 23.772686, 2016:01:01 00:00:00
33799426891, 61.504483, 23.774414, 2016:01:01 00:00:00
33116451063, 61.504483, 23.774414, 2016:01:01 00:00:00
33799423541, 61.507610, 23.772118, 2016:01:01 00:00:00
33085904814, 61.507328, 23.760305, 2016:01:01 00:00:00
33771957482, 61.507328, 23.760305, 2016:01:01 00:00:00
33085899594, 61.507211, 23.759543, 2016:01:01 00:00:00
33085897494, 61.507108, 23.759125, 2016:01:01 00:00:00
33771953082, 61.506888, 23.757945, 2016:01:01 00:00:00
33771950452, 61.506888, 23.757945, 2016:01:01 00:00:00
33085888924, 61.506781, 23.756850, 2016:01:01 00:00:00
33771946932, 61.507564, 23.762011, 2016:01:01 00:00:00
33888019316, 61.506330, 23.765670, 2016:01:01 00:00:00
33116435643, 61.506494, 23.766689, 2016:01:01 00:00:00
33929492995, 61.506274, 23.766582, 2016:01:01 00:00:00
33116433073, 61.506274, 23.766582, 2016:01:01 00:00:00
33888012046, 61.506187, 23.764189, 2016:01:01 00:00:00
33929489435, 61.506069, 23.761260, 2016:01:01 00:00:00
33888008616, 61.506069, 23.761260, 2016:01:01 00:00:00
33085874094, 61.506059, 23.760584, 2016:01:01 00:00:00
33771934252, 61.505993, 23.760359, 2016:01:01 00:00:00
33085870874, 61.505880, 23.760133, 2016:01:01 00:00:00
33116422663, 61.499312, 23.756593, 2016:01:01 00:00:00
33771912032, 61.506223, 23.766088, 2016:01:01 00:00:00
33771910312, 61.499261, 23.757054, 2016:01:01 00:00:00
33381674830, 61.516640, 23.687057, 2016:01:01 00:00:00
33594060242, 61.651810, 24.024921, 2016:01:01 00:00:00
